1, 2, 259, 381, 662, 363, 771, 201, 674, 358
2, 381, 471, 588, 674, 358, 757, 198, 669, 359
3, 588, 686, 815, 669, 359, 762, 197, 663, 370
4, 815, 910, 1034, 663, 370, 775, 197, 677, 372
5, 1034, 1130, 1253, 677, 372, 769, 186, 676, 375
6, 1253, 1349, 1479, 676, 375, 766, 201, 670, 370
7, 1479, 1575, 1707, 670, 370, 751, 200, 666, 369
8, 1707, 1804, 1931, 666, 369, 740, 201, 665, 365
9, 1931, 2033, 2176, 665, 365, 740, 202, 666, 373
10, 2176, 2272, 2412, 666, 373, 745, 202, 661, 367
11, 2412, 2511, 2651, 661, 367, 742, 203, 670, 365
12, 2651, 2761, 2925, 670, 365, 729, 206, 656, 366
