1, 129, 243, 341, 705, 343, 819, 154, 711, 345
2, 341, 431, 529, 711, 345, 796, 151, 714, 335
3, 529, 612, 711, 714, 335, 785, 159, 716, 333
4, 711, 805, 899, 716, 333, 811, 149, 704, 344
5, 899, 986, 1089, 704, 344, 792, 151, 704, 336
6, 1089, 1180, 1275, 704, 336, 798, 143, 709, 338
7, 1275, 1363, 1457, 709, 338, 774, 131, 709, 340
8, 1457, 1546, 1640, 709, 340, 761, 137, 720, 327
9, 1640, 1739, 1834, 720, 327, 783, 139, 711, 344
10, 1834, 1922, 2020, 711, 344, 765, 136, 715, 326
11, 2020, 2105, 2207, 715, 326, 761, 130, 719, 341
12, 2207, 2300, 2392, 719, 341, 763, 143, 717, 342
13, 2392, 2488, 2584, 717, 342, 761, 131, 713, 346
14, 2584, 2684, 2768, 713, 346, 762, 130, 729, 351
