1, 2, 181, 250, 605, 133, 594, 209, 591, 160
2, 250, 318, 381, 591, 160, 610, 205, 602, 155
3, 381, 452, 517, 602, 155, 614, 208, 596, 150
4, 517, 604, 672, 596, 150, 605, 200, 596, 144
5, 672, 763, 840, 596, 144, 597, 195, 600, 148
6, 840, 923, 998, 600, 148, 596, 198, 605, 153
7, 998, 1065, 1147, 605, 153, 610, 193, 600, 150
8, 1147, 1212, 1283, 600, 150, 603, 192, 606, 156
9, 1283, 1350, 1418, 606, 156, 603, 198, 590, 158
10, 1418, 1486, 1612, 590, 158, 603, 196, 609, 128
11, 1612, 1942, 2059, 609, 128, 605, 214, 611, 142
