17,461,223,47,472,58,85,459,222
85,459,222,108,478,54,144,465,224
144,465,224,166,475,62,198,461,221
198,460,222,223,472,51,254,462,223
254,462,223,278,471,53,312,463,225
312,463,225,334,473,56,369,462,223
369,463,223,392,477,55,427,463,225
427,463,225,450,475,53,487,463,231
487,463,231,509,475,54,547,458,225
547,458,225,570,470,48,610,465,229
610,465,229,634,477,51,673,463,228
673,463,228,696,476,53,734,466,225
734,466,225,757,473,41,796,462,225
796,462,225,820,474,49,860,467,228
860,467,228,886,474,49,914,468,219
