8,454,255,28,496,139,60,448,259
61,453,260,81,494,134,112,443,264
112,443,264,134,486,124,165,447,267
165,447,267,187,489,121,218,446,264
218,446,264,241,482,121,269,445,268
269,445,268,291,483,120,321,443,274
321,448,273,343,483,117,376,443,263
376,443,263,401,476,122,432,447,264
432,447,264,460,486,125,498,441,261
498,441,261,527,486,123,569,444,259
569,444,259,593,487,121,623,446,263
630,447,262,660,482,125,689,445,267
689,447,263,711,485,124,737,445,255
745,445,255,768,483,127,796,447,258
798,447,260,821,485,125,841,454,281
841,454,281,858,488,123,878,451,287
879,451,287,897,479,114,911,486,250
